nome,endereco
3G CELL LTDA,"Rua José de Oscar de Abreu Sampaio, 397  - Rua José de Oscar de Abreu Sampaio, 397 - Jardim Anália Franco - SP"
A. ALBERTO ELIAS CHENU – ME,"Alameda França, 435 - Jardim Paulista - Unidade 41 - São Paulo - SP - SP"
ADONAY ALVES SIQUEIRA VIEIRA,"""R MONTE SINAI, 55 - CIDADE ANTONIO ESTEVAO DE CARVALHO"" - São Paulo - SP - SP"
estado,cidade,title,endereco
AC,Rio Branco,Unidade de Negócio Rio Branco - AC,"AV. ANTONIO DA ROCHA VIANA, 2585, SALA 04 - GALERIA AMÉRICA"
AL,Maceió,Unidade de Negócio Maceió,"Rua Epaminondas Gracindo, 171, Pajuçara Maceio - Al CEP:57030-103"
AM,Manaus,Unidade de Negócio Manaus,"Av. Autaz Mirim, 2439  CEP: 69082-265"
BA,Barreiras,Barreiras - BA,"Rua Doutor Abílio Farias, 657 – Renato Gonçalves, Barreiras - BA"
BA,Camaçari,Unidade de Negócio Camaçari,Avenida Jorge Amado S/N - Loja 13 - Estacionamento do Atakarejo Camaçari - Jardim Limoeiro -  Camaçari - BA
BA,Lauro de Freitas,Unidade de Negócio Lauro de Freitas,"Av. Santos Dumont, 2774 - Shopping Ponto Verde (Lj 17), Centro  CEP:42702-400"
BA,Luís Eduardo Magalhães,Unidade de negógcio Luis Eduardo Magalhães,"Rua Cleriston Andrade, 909, sala 101, Centro.  Luís Eduardo Magalhães - BA"
BA,Salvador,Unidade de Negócio Salvador ,"Edifício Evo - Rua Rubens Guelli, 68 - Itaigara, Salvador - BA, 41815-135"
BA,Salvador,Salvador II,"Av. Octávio Mangabeira, 3551 - Jardim Armação, Salvador - BA, 41750-240"
CE,Fortaleza,Unidade de Negócio Fortaleza,"Av. Desembargador Moreira, nº 1701, Bairro Aldeota - CEP 60.170-001."
CE,Fortaleza,Unidade Fortaleza - Edson Queiroz,"PEDRO ADRIANO, 145 Casa 01"
DF,Águas Claras,Águas Claras,"Rua 36, número SN, LOTE: 9; LOJA: 2, Bairro: Norte, Águas Claras - DF, CEP: 71.919-180"
DF,Brasília ,Unidade de Negócio Brasilia,"SHS QD 1 Bloco A LJ 33/34 Galeria Hotel Nacional - Asa Sul, Brasília - DF, 70311-000"
ES,Vila Velha,Unidade de Negócio Vila Velha,"Rua Henrique Moscoso nº 606, Praia da Costa, Vila Velha - Espirito Santo CEP:29101-330"
